Logged started on,19/07/2020 22:11:08
Feature,Accelerometer
Nodes,AM1V310 @395930

Date,HostTimestamp,NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg)
19/07/2020 22:30:00.656,1132112,AM1V310 @395930,81481,420083FFED03,66,-125,1005
19/07/2020 22:30:00.717,1132171,AM1V310 @395930,81488,3B0094FFFE03,59,-108,1022
19/07/2020 22:30:00.777,1132231,AM1V310 @395930,81494,310094FFF903,49,-108,1017
19/07/2020 22:30:00.806,1132259,AM1V310 @395930,81500,290094FFF703,41,-108,1015
19/07/2020 22:30:00.868,1132322,AM1V310 @395930,81506,0A009AFFF103,10,-102,1009
19/07/2020 22:30:00.928,1132382,AM1V310 @395930,81513,220092FFF503,34,-110,1013
19/07/2020 22:30:00.957,1132411,AM1V310 @395930,81519,2D0096FF0304,45,-106,1027
19/07/2020 22:30:01.017,1132471,AM1V310 @395930,81525,370088FFF203,55,-120,1010
19/07/2020 22:30:01.077,1132531,AM1V310 @395930,81531,32008EFFEE03,50,-114,1006
19/07/2020 22:30:01.106,1132559,AM1V310 @395930,81538,2C008EFFF403,44,-114,1012
19/07/2020 22:30:01.168,1132621,AM1V310 @395930,81544,280084FFF303,40,-124,1011
19/07/2020 22:30:01.227,1132681,AM1V310 @395930,81550,050089FF0204,5,-119,1026
19/07/2020 22:30:01.256,1132709,AM1V310 @395930,81556,DFFF75FF1A04,-33,-139,1050
19/07/2020 22:30:01.316,1132770,AM1V310 @395930,81563,C5FF76FF2904,-59,-138,1065
19/07/2020 22:30:01.377,1132831,AM1V310 @395930,81569,ABFF5CFF0604,-85,-164,1030
19/07/2020 22:30:01.406,1132859,AM1V310 @395930,81575,B5FF49FFEF03,-75,-183,1007
19/07/2020 22:30:01.468,1132922,AM1V310 @395930,81581,74FF34FFCA03,-140,-204,970
19/07/2020 22:30:01.528,1132982,AM1V310 @395930,81588,69FF56FFE603,-151,-170,998
19/07/2020 22:30:01.557,1133010,AM1V310 @395930,81594,62FF6FFFCA03,-158,-145,970
19/07/2020 22:30:01.617,1133070,AM1V310 @395930,81600,DCFF94FFCC03,-36,-108,972
19/07/2020 22:30:01.677,1133131,AM1V310 @395930,81606,4500B9FFB703,69,-71,951
19/07/2020 22:30:01.706,1133159,AM1V310 @395930,81613,7600DEFFC203,118,-34,962
19/07/2020 22:30:01.768,1133222,AM1V310 @395930,81619,BD00F5FFEF03,189,-11,1007
19/07/2020 22:30:01.826,1133280,AM1V310 @395930,81625,DD00FCFF0F04,221,-4,1039
19/07/2020 22:30:01.857,1133310,AM1V310 @395930,81631,C70013000404,199,19,1028
19/07/2020 22:30:01.917,1133371,AM1V310 @395930,81638,AA0030000A04,170,48,1034
19/07/2020 22:30:01.977,1133431,AM1V310 @395930,81644,D7002300FA03,215,35,1018
19/07/2020 22:30:02.006,1133460,AM1V310 @395930,81650,D2000000E603,210,0,998
19/07/2020 22:30:02.068,1133522,AM1V310 @395930,81656,AA00EEFFEB03,170,-18,1003
19/07/2020 22:30:02.127,1133581,AM1V310 @395930,81663,7700F0FFF603,119,-16,1014
19/07/2020 22:30:02.156,1133609,AM1V310 @395930,81669,2B00F9FF1204,43,-7,1042
19/07/2020 22:30:02.217,1133671,AM1V310 @395930,81675,3100F1FF1B04,49,-15,1051
19/07/2020 22:30:02.277,1133731,AM1V310 @395930,81681,2400F0FF0704,36,-16,1031
19/07/2020 22:30:02.306,1133759,AM1V310 @395930,81688,2E00EFFFFB03,46,-17,1019
19/07/2020 22:30:02.368,1133821,AM1V310 @395930,81694,5800E2FFF303,88,-30,1011
19/07/2020 22:30:02.428,1133882,AM1V310 @395930,81700,4F00D3FFCE03,79,-45,974
19/07/2020 22:30:02.456,1133910,AM1V310 @395930,81706,4500E4FFE203,69,-28,994
19/07/2020 22:30:02.517,1133971,AM1V310 @395930,81713,5600D0FFE603,86,-48,998
19/07/2020 22:30:02.577,1134031,AM1V310 @395930,81719,5100E4FF0004,81,-28,1024
19/07/2020 22:30:02.606,1134059,AM1V310 @395930,81725,2900E7FFFF03,41,-25,1023
19/07/2020 22:30:02.667,1134121,AM1V310 @395930,81731,3700DEFF0E04,55,-34,1038
19/07/2020 22:30:02.727,1134181,AM1V310 @395930,81738,3200DCFF0E04,50,-36,1038
19/07/2020 22:30:02.783,1134236,AM1V310 @395930,81744,3A00DDFF0604,58,-35,1030
19/07/2020 22:30:02.817,1134271,AM1V310 @395930,81750,4000E0FF0104,64,-32,1025
19/07/2020 22:30:02.876,1134330,AM1V310 @395930,81756,6800CFFFF603,104,-49,1014
19/07/2020 22:30:02.907,1134360,AM1V310 @395930,81763,3B00CEFFE603,59,-50,998
19/07/2020 22:30:02.968,1134422,AM1V310 @395930,81769,2F00C5FFE603,47,-59,998
19/07/2020 22:30:03.028,1134482,AM1V310 @395930,81775,4700C0FFEF03,71,-64,1007
19/07/2020 22:30:03.056,1134510,AM1V310 @395930,81781,2E00D5FF0804,46,-43,1032
19/07/2020 22:30:03.118,1134572,AM1V310 @395930,81788,4800C9FFF503,72,-55,1013
19/07/2020 22:30:03.176,1134630,AM1V310 @395930,81794,3B00CFFFFA03,59,-49,1018
19/07/2020 22:30:03.206,1134659,AM1V310 @395930,81800,3D00CDFFF503,61,-51,1013
19/07/2020 22:30:03.268,1134722,AM1V310 @395930,81806,4100C0FFF203,65,-64,1010
19/07/2020 22:30:03.327,1134781,AM1V310 @395930,81813,4200C4FFF503,66,-60,1013
19/07/2020 22:30:03.356,1134810,AM1V310 @395930,81819,3B00C4FFF303,59,-60,1011
19/07/2020 22:30:03.427,1134880,AM1V310 @395930,81825,2600BBFFE103,38,-69,993
19/07/2020 22:30:03.477,1134931,AM1V310 @395930,81831,4500C7FFF903,69,-57,1017
19/07/2020 22:30:03.506,1134960,AM1V310 @395930,81838,4400C6FFE003,68,-58,992
19/07/2020 22:30:03.567,1135021,AM1V310 @395930,81844,3C00C7FFEB03,60,-57,1003
19/07/2020 22:30:03.627,1135081,AM1V310 @395930,81850,4800C3FFF903,72,-61,1017
19/07/2020 22:30:03.657,1135110,AM1V310 @395930,81856,4100C6FFFE03,65,-58,1022
