sr_no,HostTimestamp,NodeTimestamp_x,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y_dps,Z_dps,move_type
1,156162,29922,21,-75,1126,-289,-429,-105,9.6,0,14.1,D
2,156222,29928,-74,-111,1162,-282,-430,-102,2.1,19.6,23.1,D
3,156282,29935,-99,-98,1296,-277,-426,-108,-11.8,58.6,18.9,D
4,156311,29941,-150,-120,1037,-268,-414,-132,-17.2,50.5,31.2,D
5,156371,29947,-325,-116,1059,-250,-409,-141,-19.6,35.8,31.6,D
6,156431,29953,-352,-146,895,-240,-400,-147,2.9,16.1,9.3,D
7,156462,29960,-224,-79,1081,-252,-405,-147,35.4,-19.6,-4.1,D
8,156522,29966,-195,-89,1184,-261,-403,-132,0.7,3.2,2.6,D
9,156582,29972,-178,-75,1063,-265,-411,-141,4.2,1.8,3.3,D
10,156611,29978,-194,-87,1040,-258,-405,-144,-0.8,-1.7,5.1,D
11,156671,29985,-229,-94,989,-258,-409,-142,-0.9,-5.2,3.2,D
12,156732,29991,-182,-86,951,-258,-409,-142,-0.9,-5.2,3.2,D
13,156761,29997,-203,-87,960,-253,-409,-133,-1.5,0.1,1.2,D
14,156822,30003,-176,-76,1003,-247,-406,-130,5.7,-5.6,-0.5,D
15,156881,30010,-162,-80,1015,-253,-417,-126,4.2,-5.6,0.2,D
16,156911,30016,-148,-63,1019,-256,-414,-130,-3.2,-2.6,1.4,D
17,156972,30022,-173,-73,939,-259,-411,-129,-1.5,1.8,4.2,D
18,157032,30028,-187,-83,990,-255,-417,-129,0.1,-0.7,1.8,D
19,157061,30035,-179,-83,959,-253,-409,-127,3,0.7,1.6,D
20,157121,30041,-196,-77,1046,-253,-408,-126,7.3,-2.4,0,D
21,157182,30047,-167,-73,1007,-258,-406,-130,2.1,-3.7,-0.5,D
22,157211,30053,-165,-74,1009,-256,-414,-129,1.9,-4.2,0,D
23,157272,30060,-142,-78,975,-256,-408,-123,-2.5,-2.5,0.2,D
24,157332,30066,-154,-79,1014,-261,-414,-123,1.5,-1.6,0.3,D
25,157362,30072,-168,-77,990,-253,-405,-124,-0.7,-0.2,1.7,D
26,157422,30078,-198,-77,999,-255,-414,-124,1.3,-3.1,0,D
27,157482,30085,-188,-71,992,-256,-409,-124,-0.6,-1.5,-1,D
28,157511,30091,-148,-68,1003,-270,-415,-117,4.7,-7.1,-2.8,D
29,157571,30097,-144,-72,1013,-264,-412,-118,0.5,-3.8,-1.4,D
30,157632,30103,-140,-68,998,-267,-411,-123,3.2,-6,-0.9,D
31,157661,30110,-124,-60,1023,-271,-415,-123,4.1,-8,-1.4,D
32,157721,30116,-121,-59,1053,-264,-409,-120,-1.5,-3.2,0.7,D
33,157804,30122,-145,-65,987,-264,-409,-120,-1.5,-3.2,0.7,D
34,157811,30128,-140,-74,1011,-259,-420,-130,-2.8,-4.6,2.1,D
35,157871,30135,-120,-77,1006,-265,-423,-123,-3.2,-3.2,3,D
36,157931,30141,-124,-92,989,-267,-423,-121,-3.7,-3.2,1.7,D
37,157961,30147,-120,-92,999,-267,-417,-115,0.3,-2.1,1.4,D
38,158021,30153,-125,-88,1003,-267,-420,-109,-3,-1.7,1.6,D
39,158081,30160,-114,-78,983,-271,-426,-115,-3,-1.7,1.6,D
40,158111,30166,-123,-75,1039,-256,-429,-108,-0.4,-2.5,2,D
41,158171,30172,-125,-77,1002,-258,-417,-109,-3.5,0.7,3,D
42,158232,30178,-113,-86,983,-258,-415,-121,-0.5,-0.9,2.3,D
43,158261,30185,-117,-96,1015,-258,-421,-114,-0.6,0.9,2.8,D
44,158322,30191,-134,-99,996,-255,-429,-126,1.1,-1.2,1.4,D
45,158382,30197,-108,-87,1019,-261,-426,-117,-1.8,-1.1,1.4,D
46,158411,30203,-135,-94,1014,-264,-420,-117,0,-2.2,2.5,D
47,158471,30210,-129,-87,988,-249,-421,-118,0.4,-0.9,2.2,D
48,158532,30216,-112,-84,1017,-264,-424,-111,2.7,-4.2,1.4,D
49,158561,30222,-116,-87,1019,-247,-418,-117,3.4,-3,1.8,D
50,158622,30228,-98,-78,1027,-265,-432,-112,0.5,-4.7,2.9,D
51,158682,30235,-90,-74,1050,-256,-426,-108,-2.5,-3.2,4.5,D
52,158711,30241,-108,-88,1006,-258,-421,-106,-6.1,-3.7,6,D
53,158772,30247,-106,-83,1030,-261,-426,-105,-4.6,-5.3,6.9,D
54,158833,30253,-91,-90,1051,-249,-430,-115,-7.1,-4.9,7.4,D
55,158862,30260,-91,-77,1049,-250,-432,-117,-0.9,-3.6,8.4,D
56,158922,30266,23,-34,1030,-240,-432,-108,-1.2,-12.6,11.4,D
1,1994731,261140,-95,-927,-128,333,-205,-226,-0.4,-4,1.7,D
2,1994792,261146,-29,-927,-116,337,-210,-216,1.4,-1.7,-0.2,D
3,1994852,261153,-41,-937,-65,330,-204,-225,4.7,-9.5,-1.7,D
4,1994881,261159,-93,-982,-103,321,-205,-225,2.9,-7.2,6.5,D
5,1994942,261165,-99,-974,-87,325,-204,-234,7.2,-7.4,1.2,D
6,1995002,261171,-8,-965,-107,324,-216,-237,6,-3.7,1.1,D
7,1995031,261178,-61,-988,-104,321,-202,-240,8.6,-4.3,-2.8,D
8,1995092,261184,-63,-987,-98,312,-205,-249,7.4,-3.9,1.8,D
9,1995152,261190,-83,-1015,-48,315,-211,-256,13.4,-9.3,-1.1,D
10,1995181,261196,-42,-1009,-42,307,-216,-261,10.2,-3.2,-1.4,D
11,1995242,261203,-77,-1009,-12,303,-213,-274,2.8,2.1,5.3,D
12,1995302,261209,-55,-933,-15,306,-211,-262,3.7,-1.5,3.1,D
13,1995332,261215,-78,-985,-64,306,-204,-265,9.5,-1.8,3.5,D
14,1995391,261221,-76,-992,4,298,-207,-276,10.3,3.5,-4,D
15,1995454,261228,-7,-955,-40,301,-216,-279,8.3,0.4,-6.3,D
16,1995481,261234,-87,-971,-56,298,-214,-280,5.8,-2.5,-2.4,D
